title,url,description
Всероссийский рейтинг малого и среднего бизнеса «Индекс дела»,https://мойбизнес.рф/anticrisis/vserossiyskiy-reyting-malogo-i-srednego-biznesa-indeks-dela,Новый системный инструмент развития для предпринимателей
"Поддержка от АНО «Мой бизнес – мои возможности», Минэкономразвития и Яндекс Директ",https://мойбизнес.рф/anticrisis/podderzhka-ot-ano-moy-biznes-moi-vozmozhnosti-minekonomrazvitiya-i-yandeks-direkt,Предприниматели могут получить 7 000₽ на первую рекламную кампанию в Яндекс Директе
Поддержка малого и среднего бизнеса от Минэкономразвития и Яндекс Бизнеса,https://мойбизнес.рф/anticrisis/podderzhka-malogo-i-srednego-biznesa-ot-minekonomrazvitiya-i-yandeks-biznesa,До 27 декабря 2024 года предприниматели могут получить 7 000₽ на запуск первой рекламы и помощь в запуске рекламной кампании
"Программа поддержки от Минэкономразвития России, Росмолодежь и SuperJob",https://мойбизнес.рф/anticrisis/programma-podderzhki-ot-minekonomrazvitiya-rossii-rosmolodezh-i-superjob,"Компании по всей России могут бесплатно разместить на SuperJob вакансии на позиции стажеров, чтобы нанять молодых специалистов"
Поддержка Минэкономразвития и «Ярмарка Мастеров – Livemaster» для мастеров и ремесленников,https://мойбизнес.рф/anticrisis/podderzhka-minekonomrazvitiya-rossii-i-yarmarka-masterov-livemaster-dlya-predprinimateley-sfery-krea,Минэкономразвития России на базе Центров «Мой бизнес» и маркетплейс Ярмарка Мастеров − Livemaster проводят конкурс для ремесленников и представителей креативных индустрий
Программа поддержки предпринимателей от Минэкономразвития России и Авито,https://мойбизнес.рф/anticrisis/programma-podderzhki-predprinimateley-sfery-uslug-ot-minekonomrazvitiya-rossii-i-avito,Минэкономразвития России и Авито расширили программу по поддержке малых и средних предпринимателей на более выгодных для бизнеса условиях
Программа поддержки соцбизнеса от hh.ru и Минэкономразвития России,https://мойбизнес.рф/anticrisis/programma-podderzhki-sotsbiznesa-ot-hh-ru-i-minekonomrazvitiya-rossii,Нужна помощь в поиске людей на свой проект? Воспользуйтесь услугой бесплатного поиска сотрудников на hh.ru с помощью нашей меры поддержки
Программы льготного кредитования,https://мойбизнес.рф/anticrisis/antikrizisnye-programmy-lgotnogo-kreditovaniya-msp-ot-banka-rossii,Антикризисные программы льготного кредитования бизнеса
Расширение доступа к соцконтрактам,https://мойбизнес.рф/anticrisis/rasshirenie-dostupa-k-sotskontraktam,"Рассказываем, как получить до 350 тыс. руб. от государства на открытие своего дела."
Поручительства и гарантии в случае отсутствия залога,https://мойбизнес.рф/anticrisis/poruchitelstva-i-garantii-v-sluchae-otsutstviya-zaloga,"Предприниматели могут получить поручительство, если им не хватает залогового обеспечения, чтобы получить банковский кредит, гарантию, лизинг"
Гранты для молодых предпринимателей,https://мойбизнес.рф/anticrisis/granty-dlya-molodykh-predprinimateley,"Граждане до 25 лет, которые решили открыть свое дело, смогут получить грант  от государства до 1 млн рублей."
Экспресс-займы для малого и среднего бизнеса,https://мойбизнес.рф/anticrisis/ekspress-zaymy-dlya-malogo-i-srednego-biznesa,Экспресс-поддержка бизнеса от МСП Банка
Федеральная программа «Мама-предприниматель»,https://мойбизнес.рф/anticrisis/federalnaya-programma-mama-predprinimatel,"Участницы проекта получат комплексные знания для открытия своего дела, а для лучших бизнес-идей в каждом регионе предусмотрен грант в 100 тысяч рублей на реализацию"
Мораторий на проверки предприятий и предпринимателей,https://мойбизнес.рф/anticrisis/moratoriy-na-proverki-predpriyatiy-i-predprinimateley,В России до конца 2024 года будет действовать мораторий на проведение проверок бизнеса.
На портале госуслуг можно заявить о нарушениях моратория на проверки,https://мойбизнес.рф/anticrisis/na-portale-gosuslug-mozhno-zayavit-o-narusheniyakh-moratoriya-na-proverki,В этом году правительство усилило контроль за соблюдением ограничений на проведение проверок бизнеса.
Освобождение ввозимого оборудования от НДС,https://мойбизнес.рф/anticrisis/osvobozhdenie-vvozimogo-oborudovaniya-ot-nds,"В перечень оборудования, ввоз которого освобождается от налога на добавленную стоимость (НДС), внесены новые позиции."
Льготы на ввоз продуктов и сырья,https://мойбизнес.рф/anticrisis/lgoty-na-vvoz-produktov-i-syrya,Совет ЕАК принял решение на 6 месяцев освободить от ввозной таможенной пошлины ряд товаров.
Отсрочка внедрения поэкземплярного учета молочной продукции,https://мойбизнес.рф/anticrisis/otsrochka-vnedreniya-poekzemplyarnogo-ucheta-molochnoy-produktsii,"Поэкземплярное отслеживание молочной продукции перенесено более чем на 1,5 года – до 1 июня 2025 года."
Выкуп земельных участков без торгов,https://мойбизнес.рф/anticrisis/vykup-zemelnykh-uchastkov-bez-torgov,"Предприниматели, налаживающие производство импортозамещающей продукции, смогут получить земельные участки в аренду без проведения торгов."
Меры поддержки IT-компаний,https://мойбизнес.рф/anticrisis/mery-podderzhki-it-kompaniy,Президент РФ установил комплекс мер для ускоренного развития IT-отрасли.
Производственные цепочки и партнеры,https://мойбизнес.рф/anticrisis/proizvodstvennye-tsepochki-i-partnery,"Упрощение получения сертификатов соответствия техническим регламентам, запрет на возврат (реэкспорт) оборудования, снижение/обнуление ввозных таможенных пошлин на отдельные товары."
Изменение цены госконтракта,https://мойбизнес.рф/anticrisis/izmenenie-tseny-goskontrakta,"Механизм поддержки строительной отрасли, который помогает компенсировать дополнительные расходы застройщиков, продлевается до конца 2022 года."
Повышенные авансы по госконтрактам,https://мойбизнес.рф/anticrisis/povyshennye-avansy-po-goskontraktam,"Компании, участвующие в госзакупках, смогут получать в 2022 году в качестве аванса до 90% от цены контракта."
Финансирование инвестпроектов в сфере промышленности,https://мойбизнес.рф/anticrisis/finansirovanie-investproektov-v-sfere-promyshlennosti,"На предоставление льготных займов промышленным предприятиям, которые занимаются разработкой продукции, способной заменить зарубежные аналоги, будет дополнительно направлено 20 млрд рублей."
Финансирование разработок конструкторской документации для импортозамещения,https://мойбизнес.рф/anticrisis/finansirovanie-razrabotok-konstruktorskoy-dokumentatsii-dlya-importozameshcheniya,"Михаил Мишустин подписал постановление, увеличивающее долю государственного финансирования в грантах на создание отечественных комплектующих для различных отраслей промышленности."
Льготные кредиты под 3% для инновационных компаний,https://мойбизнес.рф/anticrisis/lgotnye-kredity-pod-3-dlya-innovatsionnykh-kompaniy,Кредит по льготной ставке для высокотехнологичного малого и среднего бизнеса в рамках государственной программы «Взлет — от стартапа до IPO»
0% налог на прибыль для IT-компаний,https://мойбизнес.рф/anticrisis/0-nalog-na-pribyl-dlya-it-kompaniy,"IT-компании, которые ранее платили налог на прибыль по ставке 3%, полностью освободят от уплаты налога на прибыль в 2022–2024 годах."
Урегулирование задолженности,https://мойбизнес.рф/anticrisis/uregulirovanie-zadolzhennosti,"Изменение расчета пеней, реструктуризация задолженности вместо банкротства, приостановление блокировки счетов."
Приостановлены выездные налоговые проверки IT-компаний,https://мойбизнес.рф/anticrisis/priostanovleny-vyezdnye-nalogovye-proverki-it-kompaniy,ФНС России приостановила выездные (в том числе повторные) налоговые проверки IT-компаний до 3 марта 2025 года.
Продление срока уплаты налога по УСН,https://мойбизнес.рф/anticrisis/prodlenie-sroka-uplaty-naloga-po-usn,Срок уплаты налога по УСН за 2021 год и I квартал 2022 года для ИП и организаций из отдельных отраслей экономики продлевается на 6 месяцев.
Повышенное авансирование госконтрактов в 2022 году,https://мойбизнес.рф/anticrisis/povyshennoe-avansirovanie-goskontraktov-v-2022-godu,"Компании, участвующие в госзакупках, смогут получать в 2022 году в качестве аванса до 90% от цены контракта."
Легализация параллельного импорта,https://мойбизнес.рф/anticrisis/legalizatsiya-parallelnogo-importa,Правительство приняло решение разрешить ввоз в страну востребованных оригинальных товаров иностранного производства без согласия правообладателей.
Сбыт и продвижение,https://мойбизнес.рф/anticrisis/sbyt-i-prodvizhenie,"Упрощение процедур в части государственных закупок, поддержка МСП и самозанятых при закупках по 223-ФЗ."
Аграриям возместят затраты на выращивание овощей и строительство теплиц,https://мойбизнес.рф/anticrisis/agrariyam-vozmestyat-zatraty-na-vyrashchivanie-ovoshchey-i-stroitelstvo-teplits,Правительство расширит поддержку производителей картофеля и других овощей.
Меры поддержки для плательщиков налога на прибыль и НДС,https://мойбизнес.рф/anticrisis/mery-podderzhki-dlya-platelshchikov-naloga-na-pribyl-i-nds,"Совет Федерации одобрил законопроект, предусматривающий реализацию антикризисных мер поддержки в условиях санкционных ограничений."
Программы бесплатного переобучения,https://мойбизнес.рф/anticrisis/programmy-besplatnogo-pereobucheniya,С 28 марта на портале «Работа России» открыта запись на переобучение. Обучение можно пройти бесплатно и получить знания по востребованным в вашем регионе профессиям.
Продление срока уплаты авансового платежа по налогу на прибыль до 28 апреля,https://мойбизнес.рф/anticrisis/prodlenie-sroka-uplaty-avansovogo-platezha-po-nalogu-na-pribyl-do-28-aprelya,Речь идёт об авансовом платеже по налогу на прибыль за I квартал 2022 года.
Смягчение требований к маркировке молока и воды,https://мойбизнес.рф/anticrisis/smyagchenie-trebovaniy-k-markirovke-moloka-i-vody,Правительство отложило до 1 декабря 2023 года введение обязательной маркировки молочной продукции для фермерских хозяйств и сельскохозяйственных кооперативов.
Гранты для туристической отрасли,https://мойбизнес.рф/anticrisis/granty-dlya-turisticheskoy-otrasli,Ростуризм запустил 3 новые грантовые программы в туризме.
Обнуление ставки НДС для гостиничного бизнеса,https://мойбизнес.рф/anticrisis/obnulenie-stavki-nds-dlya-gostinichnogo-biznesa,В России будет обнулена ставка НДС для гостиниц и других средств размещения – для работающих и новых отелей.
Ускоренный возврат НДС,https://мойбизнес.рф/anticrisis/uskorennyy-vozvrat-nds,Налогоплательщики смогут вернуть НДС в ускоренном порядке уже в апреле.
"Поддержка для компаний, выпускающих товары из переработанных отходов",https://мойбизнес.рф/anticrisis/podderzhka-dlya-kompaniy-vypuskayushchikh-tovary-iz-pererabotannykh-otkhodov,"Предприниматели, выпускающие товары из переработанных отходов, получат господдержку."
Отмена проверок бизнеса МВД,https://мойбизнес.рф/anticrisis/otmena-proverok-biznesa-mvd,"МВД отменило все плановые проверки бизнеса. Исключение – проверки, которые касаются безопасности."
Отмена всех плановых проверок IT-компаний,https://мойбизнес.рф/anticrisis/otmena-vsekh-planovykh-proverok-it-kompaniy,IT-компании на три года освобождаются от плановых проверок.
Продление лицензий,https://мойбизнес.рф/anticrisis/prodlenie-litsenziy,"Мера затронет более 120 видов разрешений, в том числе в важных сферах деятельности."
Ограничение уголовных дел по налоговым преступлениям,https://мойбизнес.рф/anticrisis/ogranichenie-ugolovnykh-del-po-nalogovym-prestupleniyam,"Усовершенствован порядок возбуждения уголовных дел о преступлениях, связанных с уклонением от уплаты обязательных платежей."
Отмена штрафов по госконтрактам,https://мойбизнес.рф/anticrisis/otmena-shtrafov-po-goskontraktam,Для списания пеней и штрафов подрядчику достаточно представить госзаказчику письменное обоснование.
Снижение административной нагрузки на малый бизнес,https://мойбизнес.рф/anticrisis/snizhenie-administrativnoy-nagruzki-na-malyy-biznes,В КоАП внесены изменения для снижения административной нагрузки на малый бизнес.
В регионах работают «горячие линии» для поддержки бизнеса,https://мойбизнес.рф/anticrisis/v-regionakh-zapustili-goryachie-linii-dlya-podderzhki-biznesa-vo-vremya-pandemii,Предприниматели могут обращаться за консультациями по мерам антикризисной поддержки по телефонам «горячих линий» в своих регионах.
